"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,CES0500000001,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"All employees, thousands, total private, seasonally adjusted",,,,,,,,,,,
Super Sector:,Total private,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
NAICS Code:,-,,,,,,,,,,,
Data Type:,"ALL EMPLOYEES, THOUSANDS",,,,,,,,,,,
Years:,1961 to 2012,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,45119,44970,45048,44998,45122,45289,45399,45534,45592,45717,45930,46036
1962,46040,46310,46374,46680,46670,46644,46720,46775,46889,46927,46911,46902
1963,46911,46999,47075,47316,47328,47357,47460,47542,47661,47804,47771,47864
1964,47925,48172,48286,48278,48419,48550,48735,48887,49117,48948,49339,49524
1965,49645,49826,49993,50208,50397,50562,50764,50957,51152,51341,51560,51823
1966,51988,52185,52500,52678,52891,53209,53327,53501,53580,53727,53816,53943
1967,54092,54076,54133,54031,54146,54216,54344,54553,54541,54583,55008,55165
1968,55010,55396,55453,55678,55747,55918,56108,56288,56417,56620,56877,57103
1969,57230,57475,57676,57827,58044,58277,58389,58635,58535,58691,58638,58764
1970,58680,58787,58848,58643,58456,58362,58356,58226,58203,57728,57579,57947
1971,57987,57930,57952,58091,58277,58246,58304,58332,58546,58527,58699,58919
1972,59175,59350,59615,59804,60053,60353,60227,60611,60689,61068,61330,61584
1973,61927,62303,62539,62678,62831,63015,63048,63264,63384,63630,63885,63961
1974,64010,64119,64144,64191,64328,64365,64348,64291,64188,64146,63733,63093
1975,62669,62171,61894,61665,61797,61737,61909,62283,62404,62640,62782,63071
1976,63534,63835,64061,64307,64341,64413,64554,64697,64921,64883,65167,65373
1977,65634,65932,66341,66653,66956,67281,67535,67747,68129,68337,68658,68872
1978,68983,69277,69729,70365,70675,71098,71303,71592,71802,72098,72497,72760
1979,72871,73108,73523,73440,73799,74063,74067,74071,74199,74345,74400,74492
1980,74599,74657,74698,74266,73966,73660,73422,73689,73883,74104,74356,74570
1981,74673,74759,74918,75023,75098,75331,75426,75455,75446,75311,75093,74822
1982,74524,74552,74410,74140,74104,73849,73631,73433,73260,72951,72809,72790
1983,72967,72913,73085,73374,73639,74001,74426,74113,75205,75534,75878,76222
1984,76663,77132,77399,77717,77995,78352,78617,78808,79089,79355,79671,79825
1985,80036,80154,80447,80608,80838,80961,81028,81221,81407,81579,81769,81915
1986,82017,82088,82179,82356,82458,82376,82694,82788,83024,83152,83303,83488
1987,83633,83883,84100,84390,84616,84776,85087,85248,85512,85869,86073,86314
1988,86388,86825,87042,87280,87481,87811,88056,88130,88379,88606,88871,89162
1989,89387,89615,89799,89951,90037,90115,90164,90131,90342,90443,90695,90761
1990,91045,91259,91346,91297,91229,91294,91255,91150,91085,90934,90772,90700
1991,90584,90253,90080,89865,89755,89769,89692,89733,89792,89768,89673,89689
1992,89677,89623,89652,89777,89893,89944,89976,90033,90122,90311,90442,90624
1993,90889,91145,91097,91362,91620,91773,91994,92172,92407,92692,92919,93216
1994,93454,93632,94055,94366,94658,94965,95307,95596,95909,96113,96500,96786
1995,97108,97287,97481,97632,97628,97846,97945,98217,98443,98562,98702,98859
1996,98867,99253,99460,99643,99968,100242,100472,100694,100833,101111,101382,101572
1997,101763,102075,102383,102686,102959,103156,103428,103470,103896,104186,104464,104783
1998,105036,105231,105373,105629,105970,106197,106282,106587,106759,106948,107178,107516
1999,107615,107973,108066,108358,108584,108812,109083,109197,109367,109721,109970,110243
2000,110440,110521,110871,111082,110958,111176,111361,111397,111602,111609,111796,111912
2001,111868,111882,111806,111466,111379,111163,110987,110803,110521,110177,109818,109628
2002,109482,109347,109291,109173,109118,109125,109040,108992,108956,109058,109035,108877
2003,108947,108817,108625,108578,108630,108580,108551,108597,108748,108881,108945,109043
2004,109218,109271,109552,109798,110083,110193,110248,110313,110454,110773,110811,110937
2005,111046,111290,111414,111766,111908,112185,112443,112639,112707,112812,113138,113280
2006,113580,113855,114135,114291,114323,114415,114556,114681,114744,114775,114977,115161
2007,115377,115429,115635,115672,115799,115863,115873,115787,115820,115878,115956,116019
2008,116003,115912,115816,115590,115368,115183,114929,114644,114223,113742,112981,112291
2009,111500,110742,109934,109145,108849,108432,108141,107935,107795,107537,107524,107326
2010,107311,107230,107348,107551,107646,107770,107846,107995,108094,108323,108462,108564
2011,108579,108842,109091,109413,109574,109767,109943,110108,110361,110555,110719,110934
2012,111300,111562,111805,111894,112021,112083,112244,112423,112592,112766,112942,113187
